sc,g,p,pAviProf
sc1,wind,h01,0.11
sc1,wind,h02,0.11
sc1,wind,h03,0.11
sc1,wind,h04,0.11
sc1,wind,h05,0.10
sc1,wind,h06,0.10
sc1,wind,h07,0.10
sc1,wind,h08,0.09
sc1,wind,h09,0.09
sc1,wind,h10,0.09
sc1,wind,h11,0.09
sc1,wind,h12,0.09
sc1,wind,h13,0.10
sc1,wind,h14,0.12
sc1,wind,h15,0.14
sc1,wind,h16,0.15
sc1,wind,h17,0.16
sc1,wind,h18,0.16
sc1,wind,h19,0.16
sc1,wind,h20,0.15
sc1,wind,h21,0.14
sc1,wind,h22,0.13
sc1,wind,h23,0.12
sc1,wind,h24,0.12
sc2,wind,h01,0.54
sc2,wind,h02,0.54
sc2,wind,h03,0.53
sc2,wind,h04,0.52
sc2,wind,h05,0.51
sc2,wind,h06,0.50
sc2,wind,h07,0.48
sc2,wind,h08,0.47
sc2,wind,h09,0.46
sc2,wind,h10,0.45
sc2,wind,h11,0.45
sc2,wind,h12,0.45
sc2,wind,h13,0.43
sc2,wind,h14,0.41
sc2,wind,h15,0.38
sc2,wind,h16,0.35
sc2,wind,h17,0.34
sc2,wind,h18,0.35
sc2,wind,h19,0.36
sc2,wind,h20,0.38
sc2,wind,h21,0.41
sc2,wind,h22,0.43
sc2,wind,h23,0.46
sc2,wind,h24,0.48
sc3,wind,h01,0.68
sc3,wind,h02,0.69
sc3,wind,h03,0.70
sc3,wind,h04,0.71
sc3,wind,h05,0.73
sc3,wind,h06,0.74
sc3,wind,h07,0.75
sc3,wind,h08,0.76
sc3,wind,h09,0.77
sc3,wind,h10,0.78
sc3,wind,h11,0.79
sc3,wind,h12,0.80
sc3,wind,h13,0.81
sc3,wind,h14,0.81
sc3,wind,h15,0.80
sc3,wind,h16,0.79
sc3,wind,h17,0.78
sc3,wind,h18,0.77
sc3,wind,h19,0.76
sc3,wind,h20,0.75
sc3,wind,h21,0.74
sc3,wind,h22,0.74
sc3,wind,h23,0.74
sc3,wind,h24,0.74
sc1,solar,h01,0.00
sc1,solar,h02,0.00
sc1,solar,h03,0.00
sc1,solar,h04,0.00
sc1,solar,h05,0.00
sc1,solar,h06,0.02
sc1,solar,h07,0.12
sc1,solar,h08,0.30
sc1,solar,h09,0.50
sc1,solar,h10,0.66
sc1,solar,h11,0.78
sc1,solar,h12,0.83
sc1,solar,h13,0.83
sc1,solar,h14,0.78
sc1,solar,h15,0.68
sc1,solar,h16,0.53
sc1,solar,h17,0.35
sc1,solar,h18,0.17
sc1,solar,h19,0.04
sc1,solar,h20,0.00
sc1,solar,h21,0.00
sc1,solar,h22,0.00
sc1,solar,h23,0.00
sc1,solar,h24,0.00
sc2,solar,h01,0.00
sc2,solar,h02,0.00
sc2,solar,h03,0.00
sc2,solar,h04,0.00
sc2,solar,h05,0.00
sc2,solar,h06,0.00
sc2,solar,h07,0.01
sc2,solar,h08,0.07
sc2,solar,h09,0.20
sc2,solar,h10,0.36
sc2,solar,h11,0.50
sc2,solar,h12,0.57
sc2,solar,h13,0.59
sc2,solar,h14,0.54
sc2,solar,h15,0.44
sc2,solar,h16,0.29
sc2,solar,h17,0.13
sc2,solar,h18,0.03
sc2,solar,h19,0.00
sc2,solar,h20,0.00
sc2,solar,h21,0.00
sc2,solar,h22,0.00
sc2,solar,h23,0.00
sc2,solar,h24,0.00
sc3,solar,h01,0.00
sc3,solar,h02,0.00
sc3,solar,h03,0.00
sc3,solar,h04,0.00
sc3,solar,h05,0.00
sc3,solar,h06,0.00
sc3,solar,h07,0.00
sc3,solar,h08,0.01
sc3,solar,h09,0.12
sc3,solar,h10,0.28
sc3,solar,h11,0.42
sc3,solar,h12,0.51
sc3,solar,h13,0.53
sc3,solar,h14,0.50
sc3,solar,h15,0.40
sc3,solar,h16,0.23
sc3,solar,h17,0.05
sc3,solar,h18,0.00
sc3,solar,h19,0.00
sc3,solar,h20,0.00
sc3,solar,h21,0.00
sc3,solar,h22,0.00
sc3,solar,h23,0.00
sc3,solar,h24,0.00
